name,description,purchaseDate,expiryDate,department
Dell Laptop Latitude,Business laptop for staff,2023-01-10,2025-01-10,IT
HP LaserJet Pro,Office printer for Finance,2022-07-15,2024-07-15,Finance
Cisco Switch 24-Port,Network equipment for server room,2023-03-20,2026-03-20,IT
Office Chair,,2023-02-01,2030-02-01,HR
Projector Epson X2000,Meeting room projector,2023-05-12,2026-05-12,Logistics
MacBook Pro 14,Executive laptop,2024-01-01,2026-01-01,IT
Fingerprint Scanner,Attendance system hardware,2022-10-05,2025-10-05,HR
Water Dispenser,Pantry equipment,2023-04-01,2028-04-01,Logistics
Server Rack 42U,Main server rack cabinet,2021-11-11,2029-11-11,IT
Canon Scanner L520,,2023-03-10,2025-03-10,Finance
Shredder Machine,Document disposal machine,2022-06-01,2025-06-01,Finance
Standing Desk,Ergonomic workstation desk,2023-09-09,2030-09-09,HR
WiFi Access Point Ubiquiti,Office wireless access point,2023-08-01,2026-08-01,IT
Forklift Battery,Warehouse forklift power unit,2023-02-15,2025-02-15,Logistics
Safety Helmet Batch B,,2023-01-20,2027-01-20,Logistics
